,S.N.,Question,Option A,Option B,Option C,Option D,Correct Option
0,1,Device that converts electrical energy into mechanical energy is,Ac generator,Dc generator,Cell,Dc motor,D
1,2,Alternative current generator is basically based upon,Amperes law,Lenz's law,Faradays law,Coulombs law,C
2,3,"In alternative current generator, ac current reverses its direction",20 times per second,50 times per second,Once per second,Twice per second,B
3,4,"""a current carrying coil placed in magnetic field experiences force"", device that proves this law is",Dc generator,Dc motor,Ac generator,Both a and b,B
4,5,"At a particular instant, acceleration of a body is called",Instantaneous acceleration,Instantaneous velocity,Instantaneous displacement,Instantaneous speed,A
5,6,Rate of change of velocity of body is represented as,(v₁ + v₂)/t,(v₁v₂)/t,(v₁-v₂)/t,(v₂-v₁)/t,D
6,7,Rate of change of velocity of body is said to be,Displacement,Distance,Acceleration,Velocity,C
7,8,Acceleration produced in a body is the,Scalar quantity,Vector quantity,Physical quantity,Both a and b,B
8,9,"In system international, angular acceleration is measured in",Degree per second,Degree per second square,Radians per second,Radians per second square,D
9,10,Rate at which angular velocity changes with time is called,Angular displacement,Angular velocity,Angular acceleration,Angular speed,C
10,11,"When axis of rotation is fixed, angular velocity is considered as",Scalar quantity,Vector quantity,Physical quantity,Both a and b,A
11,12,Linear equations of motion are,Two,Three,Four,Five,B
12,13,"In a spaceship, objects revolving around earth appears to be",Small,Large,Weightless,Massive,C
13,14,"In a circular motion, direction of motion",Changes continuously,Changes after time,Never changes,Remains constant,A
14,15,First linear equation of motion is represented as,Vi = vf + at,Vf = vi - at,Vf = vi + at,Vf = vi + a,C
15,16,Angular displacement is defined by units,Revolution,Radian,Steradian,Both a and b,D
16,17,One radian is equal to angle of,57.3°,57.4°,53.3°,58.3°,A
17,18,One revolution is equal to angle of,90°,180°,270°,360°,D
18,19,"For very small values of angles, angular displacement is",Scalar quantity,Vector quantity,Physical quantity,Both a and b,B
19,20,"In system international, angular velocity is measured in",Degree per second,Rotation per second,Radians per second,Revolution per second,C
20,21,Revolution per minute is system international unit of the,Angular displacement,Angular velocity,Angular acceleration,Angular speed,B
21,22,Rate at which angular displacement changes with time is called,Angular displacement,Angular velocity,Angular acceleration,Angular speed,B
22,23,Venturi relation is one of applications of,Equation of continuity,Bernoulli's equation,Light equation,Speed equation,B
23,24,Density of aluminum is round about equal to,2.7 g cm⁻³,2.7 kg cm⁻³ ,2.7 g m⁻³,2.7 kg m⁻³,A
24,25,Torricelli's theorem is one of applications of,Equation of continuity,Bernoulli's equation,Light equation,Speed equation,B
25,26,"According to bernoulli's equation, where speed is high, pressure will be",High,Low,Min,Max,B
26,27,"To provide artificial gravity to spaceship, frequency needed is",F = 3.14g/2r,F = √(g/2r),F = g/2r,F = √(3.14g/2r),D
27,28,In rotating space to keep a body moving in a circular path centripetal force is provided by the,Surface of rotating space,Bottom of rotating space,Length of rotating space,Width of rotating space,A
28,29,Gravity created by some source is called,Large gravity,Artificial gravity,Gravitational force,Greater gravity,B
29,30,Gps that tracks location is an abbreviation of,Global pointing system,Globe positioning system,General positioning system,Global positioning system,D
30,31,Minimum velocity to put a satellite into orbital motion is,7.9 km s⁻¹,8.9 km s⁻¹,9 km s⁻¹,9.8 km s⁻¹,A
31,32,Chimney works best on principle of,Equation of continuity,Bernoulli's equation,Light equation,Speed equation,B
32,33,Change in potential energy is measured as difference of,Mgf,Mgh,Mg,Mgt,B
33,34,Density of air is round about equal to,1.2041 kg m⁻³,1.3041 kg m⁻³,1.4041 kg m⁻³,1.5041kg m⁻³,A
34,35,Fundamental equation that relates pressure to fluid's speed and height is known as,Equation of continuity,Bernoulli's equation,Light equation,Speed equation,B
35,36,Change in kinetic energy is measured as difference of,1/2(mv)²,(mv)²,1/2(mv),1/2(m)²,A
36,37,Energy in a capacitor can be stored in form of,1/2 cv²,2 cv²,1 cv²,1/2 cv,A
37,38,"Device that is used to store charge, is named as",Capacitor,Resistor,Transistor,Diode,A
38,39,1 µf of capacitance is equal to,10⁻² f,10⁻³ f,10⁻⁴ f,10⁻⁶ f,D
39,40,Capacitor is used to store electric,Charge,Energy,Voltage,Both a and b,D
40,41,Ability of capacitor to store charge is measured as its,Performance,Resistance,Capacitance,Durability,C
41,42,Force that bends straight path of object into circular path is known as,Linear force,Angular force,Gravitational force,Centripetal force,D
42,43,"Two cylinders of equal masses, one will have a greater rotational inertia if it has",Smaller diameter,Larger diameter,Smaller length,Greater length,B
43,44,Curved flights at high speed requires centripetal force that is,Small,Zero,Large,Maximum,C
44,45,Centripetal force has same direction as the,Centripetal velocity,Centripetal acceleration,Angular acceleration,Angular speed,B
45,46,1 ghz of frequency is equal to,107 hz,10-7 hz,109 hz,10⁻⁹ hz,C
46,47,Rays that travel in a narrow beam and easily pass through atmosphere of earth are,Microwaves,X-rays,Gamma rays,Infrared rays,A
47,48,A satellite covers longitude of earth up to,110°,120°,150°,180°,B
48,49,Whole world can be covered with,2 geo-stationary satellites,3 geo-stationary satellites,4 geo-stationary satellites,5 geo-stationary satellites,B
49,50,Intelsat iv telecommunication satellite has a capacity of handling,1 tv channels,2 tv channels,3 tv channels,4 tv channels,B
50,51,Total energy of a body is sum of,Kinetic energies,Potential energies,Forces,Both a and b,D
51,52,A nonrenewable energy is,Wind,Biomass,Coal,Tides,C
52,53,"""energy can neither be created nor be destroyed, but it can be changed from one form to another"", this law is known as",Kinetic energy,Potential energy,Conservation of energy,Conservation principle,C
53,54,Source of geothermal energy is,Sun,Tides,Earth,Air,C
54,55,One of energies that is known as renewable energy is,Coal,Oil,Tides,Natural gas,C
55,56,"Law stating that ""force is directly proportional to product of charges and inversely proportional to square of separation between them"" is called",Newton's law,Coulombs law,Gauss's law,&ohm's law,B
56,57,"Two positive charges q1 = 16 c and q2 = 4 c, separated by a diameter of 3 m will produce force of",40 n,41.1 n,42.3 n,42.7 n,D
57,58,Formula that describes statement of coulomb's law is,F = kq1q2/r²,F = q1q2/r²,F = kq/r²,F = kq1q2/r,A
58,59,Value of constant k in coulomb's law has value of,9x10³,9x105,9x107,9x109,D
59,60,Electric charges under action of electric forces is called,Electrostatic,Electric flux,Electric field,Electric field lines,A
60,61,Cross product of two vectors is represented by,A.b,Axb,A-b,A*b,B
61,62,Magnitude of displacement from initial position to final position is the,Straight line,Curved line,Circle,Total distance,A
62,63,Change from initial position to final position is called,Displacement,Distance,Speed,Velocity,A
63,64,When a body moves from one position to another change is called,Displacement,Distance,Acceleration,Velocity,A
64,65,Equation d = r2-r1 is referred to as body's,Displacement,Work,Speed,Acceleration,A
65,66,"When no kinetic energy is lost, collision is said to be",Inelastic,Perfectly elastic,Elastic,Both a and b,B
66,67,Inelastic collision is collision in which kinetic energy is,Conserved,Not conserved,Increases,Decreases,B
67,68,Elastic collision is collision in which kinetic energy is,Conserved,Not conserved,Increases,Decreases,A
68,69,Gravitational and electric forces are inversely proportional to,Distance,Square of distance,Mass,Square of mass,B
69,70,Gravitational force is force that is always,Repulsive,Attractive,Opposite,Both a and b,D
70,71,Electric force between two charges is similar to gravitational force between,Two point charges,Two point masses,Two bodies,Two distances,B
71,72,Printer that uses electric charges is called,Inkjet printer,Laser printer,Desk jet printer,Both a and b,A
72,73,"In region of any positive point charge, other positive point charge feels",Attractive force,Opposite force,Repulsive force,Both a and b,C
73,74,Electric field lines exerting force on a charge are also known as,Force of lines,Lines of force,Force lines,Both a and b,B
